排名,商品代號,商品名稱,成交量
1,CCF,聯電期貨,"38,622"
2,CZF,長榮期貨,"29,839"
3,HSF,長榮航期貨,"27,235"
4,HCF,宏達電期貨,"12,688"
5,CHF,友達期貨,"12,522"
6,CDF,台積電期貨,"12,338"
7,DQF,群創期貨,"11,094"
8,QFF,小型台積電期貨,"4,706"
9,FEF,大成鋼期貨,"4,607"
10,DDF,新光金期貨,"4,388"
